subgroup,variable,or,ci_lower,ci_upper,p_value,n_obs,pct_terminated
Research and Development,log_total_award,0.6371445914293492,0.5856398469310229,0.6931789776857273,1.0548395421119924e-25,3832,16.7%
Research Training,log_total_award,0.6767828292943961,0.6127964318561893,0.7474504977783866,1.3149483170751315e-14,1568,29.8%
Medical School/Hospital,log_total_award,0.662388575725328,0.6131760498023652,0.7155508200179155,1.3550835919371322e-25,3149,18.4%
School of Public Health,log_total_award,0.5854206752990664,0.45645974432228137,0.750816192075069,2.4715072521278902e-05,526,10.3%
Arts & Sciences/University,log_total_award,0.7645152657307138,0.6730510709244192,0.8684089763538005,3.624099403295382e-05,840,24.9%
