model,variable,coefficient,ci_lower,ci_upper,p_value,n_obs
OLS_log_remaining,log_total_award,1.2483151888895794,1.2074762252958398,1.289154152483319,0.0,5090
OLS_log_remaining,is_training,0.2945336767333799,0.12108757105948487,0.4679797824072749,0.0008738725817135833,5090
Logit_unadjusted,log_total_award,0.6599919974115626,0.6302163016938349,0.6911744990990688,1.180053825242747e-69,5400
